title,class
UPDATE 1-Saudi Aramco IPO institutional tranche 2.95 times oversubscribed,nat
UPDATE 3-Saudi Arabia wants OPEC+ to deepen oil cuts due to Aramco IPO,pos
UPDATE 2-Saudi Arabia wants OPEC+ to deepen oil cuts due to Aramco IPO,pos
CORRECTED (OFFICIAL)-Institutions have subscribed for 5.9 bln shares of Aramco IPO - lead bankers,nat
UPDATE 2-Saudi exchange to limit Aramco index weighting with cap,nat
"UPDATE 1-Abu Dhabi, Kuwait sovereign funds plan investment in Aramco IPO-sources",nat
UPDATE 1-Saudi Arabia wants OPEC+ to deepen oil cuts due to Aramco IPO,pos
Saudi Arabia wants OPEC+ to deepen oil cuts due to Aramco IPO,pos
UPDATE 1-Saudi Aramco IPO’s retail tranche oversubscribed -lead manager,nat
Saudi Aramco IPO’s retail tranche oversubscribed - lead manager,nat
UPDATE 1-Saudi Aramco markets IPO in Dubai after approaching Kuwait fund,nat
Abu Dhabi sovereign fund weighs investment of at least $1 bln in Aramco IPO -sources,neg
UPDATE 1-Saudi exchange to limit Aramco index weighting with cap,nat
Saudi central bank says Aramco IPO not causing liquidity issues for banks,nat
ABU DHABI’S SOVEREIGN FUND ADIA WEIGHS INVESTMENT OF AT LEAST $1 BLN IN ARAMCO IPO ...,neg
UPDATE 1-Aramco IPO retail subscription at $7.21 bln -lead manager,nat
"Saudi Aramco meets ADIA, Abu Dhabi funds in IPO pitch -sources",nat
UPDATE 3-Saudi Aramco in race for IPO record with $1.7 trillion top value,pos
UPDATE 3-Aramco IPO: It’s a thanks but no thanks from Petronas,pos
"UPDATE 1-Aramco IPO retail subscription at $5.8 bln, says lead manager",nat
UPDATE 1-Saudi central bank says Aramco IPO not causing liquidity issues for banks,nat
UPDATE 2-Saudi Aramco IPO raises 73 billion riyals so far -Samba,pos
COLUMN-Saudi Aramco’s behavior after IPO matters more than lofty $1.7 trillion valuation: Russell,pos
We’re seeing upside for Saudi Aramco shares trading higher: Analyst,pos
"UPDATE 1-OPEC November oil output slips before Aramco IPO, policy meeting",nat
"OPEC November oil output slips before Aramco IPO, policy meeting",nat
UPDATE 1-Saudi Aramco IPO’s institutional tranche oversubscribed - source,nat
Saudi Aramco IPO’s retail tranche attracts $12.6 bln -lead manager,nat
"Saudi Aramco will not market IPO in the United States, report says",nat
UPDATE 1-Aramco IPO banks face pared payday of $90 million or less - sources,neg
Aramco IPO banks face pared payday of $90 million or less - sources,neg
Hard for Aramco to engineer oil prices ahead of IPO: Woodside,neg
TIMELINE-Saudi Aramco’s winding road to an IPO,nat
UPDATE 3-Saudi Aramco order book reaches 73 billion riyals so far - Samba,pos
UPDATE 1-Eager Saudis prepare to snap up stakes in ‘crown jewel’ Aramco,nat
Eager Saudis prepare to snap up stakes in ‘crown jewel’ Aramco,nat
Saudi Aramco targets sale of 0.5% of oil firm to retail investors in IPO -sources,neg
"UPDATE 6-Saudi Aramco kick-starts what could be world’s biggest IPO, offers scant details",pos
Japanese companies likely to spurn Saudi Aramco IPO - JXTG president,nat
Giant Aramco listing a critical test for young Saudi exchange,pos
UPDATE 2-Aramco meets investors in last-minute bid to hit $2 trillion IPO target - sources,nat
UPDATE 5-Saudi Aramco kick-starts what could be world’s biggest IPO,nat
Saudi Arabia formally announces Aramco IPO with a domestic listing set for December,nat
UPDATE 2-Saudi Aramco makes IPO offer to Malaysia’s Petronas,nat
"UPDATE 2-Aramco IPO will come soon, Saudi crown prince to decide - energy min",nat
"Saudi Aramco IPO will have ‘halo effect’ on kingdom’s economy, analyst says",nat
"UPDATE 1-Saudi Aramco prospectus flags risks, gives few details on IPO size",neg
Saudi Aramco will offer less than 1% of shares to individual investors in IPO,neg
4 reasons why analysts are cautious on Saudi Aramco’s IPO,nat
UPDATE 7-Saudi Aramco aims to begin planned IPO on Nov. 3 -sources,nat
"Geopolitics, infrastructure risk and oil outlook spell difficult IPO for Aramco, strategist says",neg
Still a lot of questions around Aramco IPO: Analyst,nat
INSTANT VIEW 4-Saudi Arabia starts Aramco IPO process,nat
Saudi Aramco’s IPO is set to value the oil giant at up to $1.7 trillion,nat
UPDATE 4-Saudi Aramco aims to begin planned IPO on Nov. 3 -sources,nat
UPDATE 2-Saudi Aramco aims to begin planned IPO on Nov. 3 -sources,nat
SAUDI ARAMCO COULD OFFER UP TO 0.5% OF COMPANY TO RETAIL INVESTORS IN PLANNED IPO ...,nat
OPEC and its allies consider production cuts as the Aramco IPO complicates its December meeting,nat
"UPDATE 1-Aramco IPO will come soon, Saudi crown prince to decide - energy min",nat
We are interested in the Aramco IPO: China Investment Corporation,pos
UPDATE 3-Aramco share sale curb rules out overseas listing for at least a year,neg
UPDATE 5-Saudi Aramco aims to begin planned IPO on Nov. 3 -sources,nat
UPDATE 1-Aramco share sale curb rules out overseas listing for at least a year,neg
Saudi Arabia kick-starts IPO of the world’s largest oil company,nat
Saudi Aramco still struggling to find cornerstone investor,nat
UPDATE 4-Saudi Arabia kick-starts IPO of world’s largest oil company,nat
"UPDATE 1-MOVES-Aramco names first woman to head overseas office, days before IPO",pos
"The US has Apple — Saudi Arabia will have Aramco, JP Morgan says",nat
"Aramco hoping to begin its planned IPO this Sunday, report says",nat
*SAUDI ARABIA’S PIF SAYS PROCEEDS OF ARAMCO IPO WILL FLOW INTO PIF,nat
"Aramco investors should consider Saudi Arabia’s ‘control’ and ‘influence,’ analysts say",nat
ARAMCO TELLS IPO BANKERS IT MADE $68 BILLION IN FIRST 9 MONTHS - BLOOMBERG CITING ...,pos
"Terrorism, climate change and dependence on Asia — Saudi Aramco faces these risks as it ...",nat
UPDATE 5-Give or take a trillion: Investors still in the dark on Saudi Aramco value,neg
UPDATE 3-Give or take a trillion: Investors still in the dark on Saudi Aramco value,neg
"Aramco IPO prospectus to be filed by end of the month, report says",nat
Saudi Aramco IPO prospectus released but key details absent,nat
Saudi Aramco stock could price at volatile time for the oil market,nat
2019 has had its share of IPO hits and misses. What to think about before ...,nat
"Probably not the right time or price environment for Saudi Aramco IPO, expert says",pos
REFILE-UPDATE 1-Saudi Aramco pursues IPO planning despite attack damage doubts,nat
FOR ALEX S UPDATE 1-Saudi Aramco pursues IPO planning despite attack damage doubts,nat
"Saudi Aramco announces IPO, domestic listing set for December",nat
"Saudi Aramco delays planned IPO to allow for earnings update, sources say",nat
China considers up to $10 bln investment in Aramco IPO - Bloomberg,nat
Aramco listing was delayed to rope in anchor investors -sources,nat
Aramco IPO is likely to be a well-subscribed offering: Analyst,nat
UPDATE 2-Saudi Crown Prince approves announcement of Aramco IPO on Sunday-sources,nat
UPDATE 1-Saudi Aramco IPO gets $44.3 billion in bids so far - lead manager,pos
"Saudi Crown Prince approves kick-off of Aramco IPO on Sunday, sources say",nat
Saudi Aramco to meet investors in Dubai and Abu Dhabi - sources,nat
Aramco’s valuation could be a risk factor: Argus Media,nat
Saudi working on speeding up Aramco IPO process - NCB exec,nat
"Saudi Arabia is ‘gradually running out of money’ and needs IPO to fund reforms, ex-CIA ...",nat
Saudi Aramco formally announces IPO,nat
EXCLUSIVE-Saudi Aramco lures sovereign funds to hit $2 trln IPO valuation - sources,nat
UPDATE 3-Saudi Aramco gives nine banks top roles on world’s biggest IPO -sources,pos
UPDATE 2-Saudi Aramco gives nine banks top roles on world’s biggest IPO - sources,pos
UPDATE 1-Aramco listing was delayed to rope in anchor investors -sources,nat
Analyst research gives wide range for Aramco valuation - sources,neg
BRIEF-Aramco Tells IPO Bankers It Made $68 Bln In First 9 Months - Bloomberg,pos
Norway’s wealth fund says it will not invest in Saudi Aramco IPO,nat
UPDATE 4-Saudi Aramco pursues IPO with local listing plan as lines up banks -sources,nat
Aramco IPO will be ready within coming 12 months -chairman,pos
FACTBOX-Saudi Aramco: the oil colossus,nat
"The market could get hammered if Saudi Aramco’s IPO isn’t priced cheap, Jim Cramer says",pos
UPDATE 1-Aramco hires nine banks for IPO top roles - sources,pos
Saudi Aramco’s valuation set at $1.7 trillion,nat
"UPDATE 1-Aramco CEO: Domestic IPO is primary one, also prepared for international listing",pos
Saudi Aramco CEO confirms IPO will list locally ‘very soon’,pos
Saudi Aramco reportedly favors Tokyo for its overseas IPO,nat
UPDATE 5-Saudi Aramco delays planned IPO until after earnings update -sources,nat
There’s a lot of momentum around Aramco IPO: IHS Markit,nat
UPDATE 2-JPMorgan close to winning lead advisory role for Saudi Aramco IPO -source,pos
UPDATE 2-Finance royalty descend on Saudi forum as Aramco listing looms,nat
RPT-EXCLUSIVE-Saudi Aramco valuation gap persists as IPO talks resumeGÇôsources,nat
Saudi Aramco IPO unlikely to happen this year after oil attacks GÇô sources,neg
"SAUDI ARAMCO APPROACHED SOVEREIGN FUNDS ADIA, GIC, MUBADALA TO INVEST IN DOMESTIC IPO - SOURCES",nat
*SAUDI ARABIA CONSIDERS DOUBLING STAKES OFFERED IN ARAMCO IPO-WSJ,nat
Saudi Aramco says full oil production capacity will return by end of November,pos
Saudi market regulator in talks with Aramco on IPO rules,nat
SAUDI ARABIAN MARKET REGULATOR IN TALKS WITH SAUDI ARAMCO AND ADVISERS ABOUT REGULATORY REQUIREMENTS FOR ...,nat
EXCLUSIVE-Saudi central bank vets local lenders ahead of Aramco IPO GÇô sources,nat
"UPDATE 1-Saudi Aramco likely to give IPO roles to Citi, Goldman, HSBC and Samba -source",nat
"*SAUDI OFFICIALS CONSIDER DELAYING ARAMCO IPO -- WSJ, CITING SOURCES",nat
UPDATE 1-JPMorgan close to winning lead advisory role for Saudi Aramco IPO - source,pos
INSIGHT-Climate change could rain on Saudi Aramco’s IPO parade,neg
UPDATE 1-Saudi Aramco asks banks to pitch for roles in planned IPO-sources,nat
Saudi Aramco to offer up to 0.5% of shares to retail investors,nat
UPDATE 3-Saudi Aramco prepared for foreign float alongside main domestic listing,pos
UPDATE 2-Aramco ready for foreign float alongside primary domestic listing,pos
UPDATE 1-Evercore set to lose out as Aramco reshuffles IPO roles -sources,nat
Aramco’s IPO has gone from blockbuster to ‘lackluster’: Vanda Insights,nat
JPMORGAN CHASE CLOSE TO WINNING LEAD ADVISORY ROLE FOR SAUDI ARAMCO IPO - SOURCE,pos
"Saudi Aramco IPO could be back on front burner, as company plans first ever investor ...",pos
UPDATE 1-Saudi Aramco plans to pay base dividend of $75 billion in 2020,neg
OPEC and Russia likely to extend oil production cuts at upcoming meeting,nat
"UPDATE 2-Saudi Arabia restores full oil output after attacks, focused on Aramco IPO",pos
Croft: The change of leadership at Saudi Aramco may put it on a faster track ...,nat
"Saudi Aramco ‘one of the greatest companies in the world,’ Russia’s wealth fund chief says",pos
Saudi Aramco joins initiative to reduce flaring to zero by 2030,nat
New security fears jeopardize Saudi Aramco’s public stock offering following attack,pos
UPDATE 1-Banks scramble to re-pitch for Aramco IPO roles - sources,nat
Saudi Aramco in talks with banks about IPO,nat
Saudi Aramco chairman says firm will continue to meet global oil supply demand post listing,neg
Inside the drama gripping Saudi Arabia’s energy sector as it pushes to take Saudi Aramco ...,pos
"Maintaining separation between Aramco and its regulator is a ‘must,’ Saudi energy minister says",nat
CONTINENTAL’S HAMM SAYS SAUDIS WILL NEED OIL PRICES TO MOVE HIGHER TO COMPLETE PROPOSED IPO ...,pos
"Saudi Aramco will be listed once shareholders choose location, CEO says",nat
EXCLUSIVE-Saudi’s Rumayyan takes control of Aramco IPO executive committee -sources,nat
RDIF CEO: There’s strong investor interest in Saudi Aramco,pos
Saudi Energy Min: Aiming for Aramco IPO as soon as possible,nat
"Goldman, Bank of America join JP Morgan on growing list of underwriters for Saudi Aramco’s ...",nat
"Everything Jim Cramer said about the stock market on ‘Mad Money,’ including Saudi oil strikes, ...",neg
EVERCORE PARTNERS SET TO LOSE TOP ADVISORY ROLE IN SAUDI ARAMCO’S IPO AS PREPARATION RESTARTS ...,pos
Tadawul CEO: We’re ready for Saudi Aramco IPO,pos
The monster Aramco bond offering may have just doomed the Saudi oil giant’s IPO,nat
Saudi Oil Minister Khalid Al-Falih on Aramco IPO talks,nat
How Uber messed up Morgan Stanley’s chances to be lead underwriter on the world’s biggest ...,nat
Saudi Aramco to replace chairman in a push to get IPO moving,nat
Saudi Aramco tells investors it’s ready to go public,pos
EXCLUSIVE-Aramco makes relatively little from foreign refining-documents,neg
"UPDATE 5-OPEC, Russia debate deeper oil cuts as new glut looms",pos
"Separation of ministry and Saudi Aramco a ‘must,’ Saudi energy minister says",nat
"UPDATE 4-OPEC, Russia debate deeper oil cuts as new glut looms",pos
UPDATE 2-Russia yet to finalize stance before OPEC+ considers deeper oil cuts,nat
Saudi Arabia plots new path to long-delayed Aramco IPO,pos
MIDEAST STOCKS-Saudi gains as oil rises on supply cut push,nat
UPDATE 1-Saudi Aramco’s first-half net income falls 12% on lower oil prices,nat
UPDATE 1-Russia yet to finalize stance before OPEC+ considers deeper oil cuts,nat
UPDATE 2-Oil rises as Saudi Arabia pushes for further supply cuts,nat
No reason for Aramco IPO delay after SABIC deal finalized: Saudi PIF managing director,nat
"Saudi Arabia is ‘gradually running out of money,’ former CIA director says",nat
"Saudi Aramco CEO can’t say whether IPO will happen by 2020, but government remains committed",nat
Saudi officials considering delaying IPO after drone attack - WSJ,nat
Saudi stock exchange CEO: Taking steps to be ready for Aramco IPO,pos
UPDATE 1-Alibaba to close books early in $13.4 bln Hong Kong listing after strong demand ...,pos
UPDATE 1-Saudi Aramco makes IPO offer to Malaysia’s Petronas,nat
"Would be difficult for Saudi Aramco to list now after oil attack, analyst says",neg
Malaysia’s Petronas approached to take part in Saudi Aramco IPO,nat
EXCLUSIVE-Saudi plans gradual listing at home for Aramco -sources,nat
Saudi Arabia reportedly calls off Aramco IPO and disbands advisers,nat
Saudi crown prince says IPO for oil giant Aramco will happen by early 2021,pos
Aramco CEO: Saudi government is committed to IPO,nat
UPDATE 4-Saudi Aramco delays planned IPO until after earnings update -sources,nat
"UPDATE 6-Houthi drones hit two Aramco plants, sources say oil supplies disrupted",nat
"UPDATE 5-Houthi drones hit two Aramco plants, Saudis say fires contained",nat
Saudi Crown Prince approves Aramco IPO intention to float for Sunday -sources,nat
Saudi king reportedly tipped the scale against Aramco IPO plans,nat
"Saudi Aramco IPO cancellation not really surprising, says expert",neg
Saudi Arabia calls off Aramco IPO: Report,nat
"Saudi Aramco listing will happen ‘very soon,’ CEO says",pos
"Attack on Saudi Aramco a step up in geopolitical risk for region, expert says",nat
New chairman says working to prepare Saudi Aramco listing,pos
GRAPHIC-Take Five: NATO -- dead or alive?,neg
"Don’t think Saudi Aramco IPO will happen in 2019—if ever, says oil expert",nat
Saudi Aramco investors forced to ‘stay patient’ as IPO is reportedly delayed,neg
Report: Saudi Aramco to set IPO price range on Nov. 17,nat
UPDATE 2-OPEC+ faces “major challenge” from competitors’ surging output - IEA,pos
"‘Unique’ Aramco IPO changes the dynamics of Saudi Arabia’s economy, stock market CEO says",pos
Saudi Aramco pushes back on IPO price and timings speculation,nat
Goldman and Citi reportedly poised for big roles in Saudi Aramco IPO,nat
Changing oil price important for Aramco IPO: Expert,pos
"Saudi stock exchange chairwoman on Saudi Aramco IPO, gender politics",nat
Saudi Aramco could skip the red tape and list its IPO at home,nat
Saudi Energy Minister weighs in on Saudi Aramco IPO,nat
"No Saudi Aramco IPO? No problem, potentially, for Saudi Arabia’s investment dreams",nat
"Ahead of Saudi Aramco IPO, Nasdaq CEO says massive companies could benefit from dual-listing",nat
"More than 5% of Saudi Aramco could be offered beyond the IPO, Saudi billionaire investor ...",pos
There are a lot of questions regarding the Aramco IPO: Analyst,nat
Saudi Aramco denies it is shelving IPO but some say it could make sense,nat
Boon for Hong Kong as Alibaba eyes $15 billion late November listing: Sources,neg
Saudi Aramco working to raise cheap loans before IPO: Banking sources,pos
Russia to press OPEC+ to change its oil output calculations,nat
Aramco is stuck in a dilemma: Lipow Oil Associates,nat
ETF Spotlight: Energy sector in correction territory,nat
"Saudi Aramco IPO doubts grow, reports Dow Jones",nat
Al-husseini on Aramco,nat
Kingdom come: New York may be a long shot for Aramco IPO,pos
"International investors see ways to buy into Saudi’s reform, even without an international Aramco IPO",nat
Deutsche Bank: ‘No reason to doubt’ Saudi Aramco IPO is on track for 2018,nat
Dennis Gartman: Saudi Aramco IPO will mark a peak in oil,nat
Saudi Aramco will try to stabilize oil market to get IPO done: Seaport Global’s Mike ...,nat
Saudi Aramco IPO would be positive for oil: Neal Dingmann,pos
‘Nobody really knows’ state of play for proposed Aramco IPO,pos
"Saudi Aramco’s massive IPO is ‘on track’ for next year, CEO says",nat
Saudi market rules ready for Aramco IPO by end-June: CMA Chairman,pos
"CMA ‘ready to accommodate’ Saudi Aramco IPO, chairman says",pos
"Aramco may list downstream oil assets after acquiring chemical firm SABIC, strategists say",neg
Saudi Aramco’s planned IPO has many moving parts: Analysts,pos
Saudi Aramco delays IPO,nat
"Saudi Aramco taps JPMorgan, Morgan Stanley for IPO; HSBC a contender: Source",nat
"Saudi oil giant Aramco is ready for 2018 IPO, but waiting for OK from government, ...",pos
Moelis wins biggest ever mandate for Saudi Aramco IPO,pos
IPO on track for 2018: Saudi Aramco CEO,nat
Aramco IPO: Does the UK still have a chance?,nat
"Saudi Aramco IPO on track for 2021, CEO says",nat
Saudi energy minister: Sticking to Aramco IPO 2021 timeline,nat
"Saudi Aramco IPO to take place in 2018, Gulf oil minister says",nat
Saudi in ‘serious discussions’ with NYSE for Aramco IPO listing: Foreign minister,neg
The massive Saudi Aramco IPO remains murky — but details could be on the way,nat
Hong Kong pins Aramco IPO hopes on China’s deep pockets,nat
"Saudi stock exchange will continue to develop its markets for Aramco IPO, stock market boss ...",nat
Who will win the Aramco IPO?,pos
Could Hong Kong IPO for Aramco be a match made in heaven?,nat
Saudi Aramco IPO could go to London: Expert,nat
"Saudi Aramco IPO schedule ‘is not slipping,’ says Saudi energy minister",pos
"UPDATE 1-Oil falls on caution ahead of econ data, offsets trade deal optimism",nat
Oil edges down; eyes on data amid trade deal hopes,neg
"Saudi crown prince still committed to taking Aramco public, say sources",nat
Aramco says IPO on track after report it is preparing for possible delay,nat
Saudi Aramco CEO: Government will decide on the IPO timing,nat
UPDATE 1-Alibaba to pay banks up to $32.3 mln in fees for Hong Kong listing,nat
What is Saudi Aramco?,nat
"Saudi Aramco expected to list first on Saudi stock exchange, delaying international debut",pos
JPMorgan and Morgan Stanley reportedly picked to advise on Saudi Aramco’s SABIC deal,nat
Saudi Aramco CEO: IPO listing venue will be shared ‘in due course’,neg
Trading oil after Aramco IPO: 3 plays,pos
UPDATE 2-Norway wealth fund CEO to step down after 12 years,neg
Britain’s FCA goes ahead with disputed ‘Aramco’ listing rule,nat
Saudi Aramco CEO: Saudi government is ‘committed’ to the IPO,nat
"Aramco IPO unlikely to happen this year, expert says",neg
"Hong Kong’s IPO market has been hit by the protests, but it could see a ...",nat
Saudi Arabia considers doubling stake offered in Aramco IPO - WSJ,nat
Saudi Arabia’s stock market could get a liquidity boost that would aid an Aramco listing,nat
Britain floats new sovereign IPO rules in bid for Aramco prize,pos
"‘We will see that Aramco IPO,’ expert says",nat
Saudi Arabia denies it’s scrapping Aramco IPO,nat
Biggest issue is where Aramco will list: Croft,nat
Saudi Aramco bond offering attracts massive $100 billion in investor interest,nat
Saudi Arabia reportedly to seek $11 billion in loans as Aramco IPO delayed,nat
Saudi Arabia denies reports it’s scrapping Aramco IPO,nat
Saudi Arabia faces reality check as Wall Street heads to Riyadh,nat
Aramco needs high oil price due to IPO: GMP FirstEnergy,pos
UPDATE 1-Russia’s Putin: Saudi Arabia taking tough stance on OPEC deal,neg
"Saudi Aramco is ready to go public, says CEO",pos
Who will win the world’s biggest IPO?,pos
Saudi Stock Exchange CEO: Aramco IPO will help attract extra investors,nat
Saudi Stock Exchange chairwoman says ‘we are doing everything’ to get ready for giant Aramco ...,pos
Massive IPO for Saudi oil giant Aramco reportedly stalled by indecision over where to list ...,nat
Buying the Aramco IPO would be like ‘buying Blockbuster in the age of Netflix’,nat
